,1.a,1.b,1.c,2.a,2.b,2.c,3.a,3.b,3.c,4,5,pont,pont
0,2,2,1,3,2,1,1,3,2,a,a,6,6
1,3,2,1,2,2,2,1,3,2,b,a,8,8
2,3,2,1,3,2,1,2,3,1,b,a,5,5
3,2,1,3,1,3,2,1,2,2,c,c,6,6
4,3,2,1,1,2,3,1,1,3,c,a,7,7
5,3,2,1,1,3,2,1,3,2,b,a,10,10
6,1,3,2,1,3,2,1,3,2,b,a,7,7
7,3,2,1,1,2,3,1,1,3,c,a,7,7
8,3,2,1,3,1,2,2,3,1,c,a,7,7
9,1,3,2,1,3,2,1,3,2,b,a,7,7
10,3,2,2,3,1,2,3,2,3,c,d,4,4
11,3,2,1,1,3,2,1,2,2,c,c,9,9
12,3,2,1,1,2,2,3,1,2,c,a,8,8
13,3,2,1,3,2,2,1,1,2,c,a,8,8
14,3,2,1,1,3,2,3,1,2,c,a,9,9
15,3,2,1,1,2,2,3,1,2,c,a,8,8
16,1,3,2,2,1,2,1,3,2,b,d,4,4
17,2,1,2,3,1,2,1,3,2,c,c,5,5
18,3,2,1,1,1,2,1,3,2,c,a,10,10
19,3,2,1,3,1,2,1,3,2,a,a,8,8
20,2,3,1,1,2,2,1,3,2,c,c,7,7
21,3,2,1,1,1,2,1,3,2,b,a,9,9
22,3,1,2,1,2,3,1,3,2,c,b,6,6
23,3,2,1,3,1,2,1,3,2,b,a,8,8
24,3,2,1,2,2,2,1,3,2,b,a,8,8
25,2,2,3,3,2,2,2,1,1,b,b,2,2
26,2,2,3,1,1,2,1,1,1,a,a,5,5
27,3,1,2,3,2,1,2,3,1,b,a,3,3
28,3,2,3,1,2,3,1,2,3,b,d,4,4
29,2,3,1,3,2,2,1,2,2,c,c,5,5
30,3,2,1,2,1,2,2,1,3,b,b,4,4
31,2,2,3,1,3,1,3,2,1,c,c,4,4
32,2,3,1,1,3,2,3,1,2,b,c,5,5
33,2,2,1,2,1,2,3,3,2,c,c,6,6
34,3,2,1,2,1,3,1,3,2,c,a,8,8
35,3,2,1,2,1,3,3,2,2,c,a,6,6
36,3,3,2,2,3,1,2,3,1,c,c,4,4
37,2,2,3,3,1,3,1,3,3,a,b,3,3
38,3,2,1,1,2,2,1,3,2,b,a,9,9
39,2,1,3,2,1,3,1,2,3,c,d,2,2
40,3,1,2,2,1,2,1,2,3,c,b,4,4
41,2,1,3,1,2,1,3,2,1,d,c,1,1
42,3,2,1,3,2,1,1,2,3,a,a,5,5
43,3,2,1,1,3,2,1,3,2,b,c,9,9
44,1,2,1,3,2,1,3,1,2,c,d,4,4
45,2,3,1,3,2,2,1,2,2,c,c,5,5
46,2,1,3,2,3,2,2,1,1,b,a,3,3
47,1,2,1,1,2,3,2,3,1,c,a,6,6
48,2,3,1,3,2,2,2,2,3,c,c,3,3
49,3,2,1,3,1,2,1,3,2,d,a,8,8
50,3,1,2,2,1,3,1,2,3,c,c,3,3
51,1,3,2,1,3,2,2,1,2,c,c,5,5
52,2,3,1,2,1,3,1,3,2,c,d,5,5
53,1,2,1,1,2,2,1,3,2,c,a,9,9
54,2,1,2,2,1,3,1,3,2,c,b,4,4
55,2,3,1,2,1,3,3,2,1,c,b,2,2
